Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
54,"N Vo, N Jacobs, J Hays",Revisiting im2gps in the deep learning era,158,2017, openaccess.thecvf.com, Proceedings of the IEEE …,"… Image Geolocalization using Deep Learning Given a large training data of images with 
GPS labels, we examine two deep learning approaches for geolocalization. For both cases we …",http://openaccess.thecvf.com/content_iccv_2017/html/Vo_Revisiting_IM2GPS_in_ICCV_2017_paper.html,18
17,"G Hinton, Y LeCun, Y Bengio",Deep learning,148,2015, helper.ipam.ucla.edu, Nature,"… A breakthrough that makes deep learning efficient • To learn deep nets efficiently, we need 
to learn one layer of features at a time. This does not work well if we assume that the latent …",http://helper.ipam.ucla.edu/publications/gss2012/gss2012_10596.pdf,13
96,"Y LeCun, M Ranzato",Deep learning tutorial,147,2013, Citeseer, … in international conference on machine learning  …,"… There is no opposition between graphical models and deep learning. Many deep 
learning models are formulated as factor graphs Some graphical models use deep …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c14dd0861e4333306e880d63255433db25beb9d5,11
21,"S Nikolenko, A Kadurin, E Arkhangelskaya",Deep learning,146,2018, logic.pdmi.ras.ru, SPb.: Peter,"• Aaaand... that’s it! We can now take the gradients of any complicated composition of 
simple functions.• Which is all we need to apply gradient descent!• The libraries–theano, …",https://logic.pdmi.ras.ru/~sergey/teaching/mlharbour17/18-dl-regularization.pdf,18
78,"K Huang, A Hussain, QF Wang, R Zhang","Deep learning: fundamentals, theory and applications",137,2019, Springer,,"… Chapters 4 and 5 describe application of deep learning methods … via deep learning, and 
describes two powerful learning models … Chapter 5 addresses deep learning technologies in a …",https://link.springer.com/content/pdf/10.1007/978-3-030-06073-2.pdf,20
41,"M Coşkun, Ö Yıldırım, A Uçar, Y Demır",An overview of popular deep learning methods,137,2017, dergipark.org.tr, European Journal of …,"… in deep learning, one of the state of the art approaches in machine learning, in terms of 
its history and current applications as a brief introduction to the subject. Deep learning has …",https://dergipark.org.tr/en/pub/ejt/issue/34562/403498,15
95,"A Mosavi, S Ardabili, AR Varkonyi-Koczy",List of deep learning models,137,2019, Springer, International conference on …,"… deep learning methods and their notable applications. In every section, one deep learning 
… The description of each deep learning method and the function of each building block is …",https://link.springer.com/chapter/10.1007/978-3-030-36841-8_20,20
23,AW Trask,Grokking deep learning,130,2019, books.google.com,,"… barrier to entry to the practice of deep learning. You don’t just … ’ll even learn about moreadvanced 
deep learning concepts … deep learning so that you can master a major deep learning …",https://books.google.com/books?hl=en&lr=&id=0zczEAAAQBAJ&oi=fnd&pg=PT34&dq=Deep+Learning&ots=-lBl_TqJAH&sig=WzEOsLBQvYJZBECFjQHjv6YLMgQ,19
63,C Buckner,Deep learning: A philosophical introduction,125,2019, Wiley Online Library, Philosophy compass,"… Deep learning is currently the most prominent and widely … This is remarkable, given that 
deep learning neural networks … It argues that deep learning neural networks differ importantly …",https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/phc3.12625,18
84,"M Paluszek, S Thomas",Practical Matlab deep learning,122,2020, Springer,Based Approach  Michael Paluszek and …,"… Deep learning systems are usually in the latter category. We’ll next give a brief history of 
deep learning … In our book, we will apply MATLAB deep learning to a wide range of problems …",https://link.springer.com/content/pdf/10.1007/978-1-4842-7912-0.pdf,20
67,MM Waldrop,What are the limits of deep learning?,120,2019, pnas.org, Proceedings of the National Academy of Sciences,"… New York University and one of deep learning’s most vocal skeptics. … deep learning was 
magic. Now people are realizing that it’s not magic.” Still, there’s no denying that deep learning …",https://www.pnas.org/doi/abs/10.1073/pnas.1821594116,17
